"from","to","combined_score","target"
"9606.ENSP00000270570","9606.ENSP00000445929",285,"9606.ENSP00000270570"
"9606.ENSP00000379326","9606.ENSP00000445929",285,"9606.ENSP00000379326"
"9606.ENSP00000417085","9606.ENSP00000445929",284,"9606.ENSP00000417085"
"9606.ENSP00000377112","9606.ENSP00000445929",283,"9606.ENSP00000377112"
"9606.ENSP00000266579","9606.ENSP00000445929",280,"9606.ENSP00000266579"
"9606.ENSP00000355930","9606.ENSP00000445929",279,"9606.ENSP00000355930"
"9606.ENSP00000364163","9606.ENSP00000445929",279,"9606.ENSP00000364163"
"9606.ENSP00000400325","9606.ENSP00000445929",278,"9606.ENSP00000400325"
"9606.ENSP00000415786","9606.ENSP00000445929",278,"9606.ENSP00000415786"
"9606.ENSP00000222248","9606.ENSP00000445929",272,"9606.ENSP00000222248"
"9606.ENSP00000376352","9606.ENSP00000445929",272,"9606.ENSP00000376352"
"9606.ENSP00000445929","9606.ENSP00000480336",271,"9606.ENSP00000480336"
"9606.ENSP00000380437","9606.ENSP00000445929",269,"9606.ENSP00000380437"
"9606.ENSP00000346112","9606.ENSP00000445929",268,"9606.ENSP00000346112"
"9606.ENSP00000445929","9606.ENSP00000471683",268,"9606.ENSP00000471683"
"9606.ENSP00000445929","9606.ENSP00000495530",267,"9606.ENSP00000495530"
"9606.ENSP00000434515","9606.ENSP00000445929",264,"9606.ENSP00000434515"
"9606.ENSP00000221742","9606.ENSP00000445929",263,"9606.ENSP00000221742"
"9606.ENSP00000272542","9606.ENSP00000445929",263,"9606.ENSP00000272542"
"9606.ENSP00000227880","9606.ENSP00000445929",262,"9606.ENSP00000227880"
"9606.ENSP00000264029","9606.ENSP00000445929",262,"9606.ENSP00000264029"
"9606.ENSP00000269097","9606.ENSP00000445929",262,"9606.ENSP00000269097"
"9606.ENSP00000354689","9606.ENSP00000445929",262,"9606.ENSP00000354689"
"9606.ENSP00000265113","9606.ENSP00000445929",258,"9606.ENSP00000265113"
"9606.ENSP00000305995","9606.ENSP00000445929",256,"9606.ENSP00000305995"
"9606.ENSP00000364512","9606.ENSP00000445929",255,"9606.ENSP00000364512"
"9606.ENSP00000367123","9606.ENSP00000445929",255,"9606.ENSP00000367123"
"9606.ENSP00000200652","9606.ENSP00000445929",254,"9606.ENSP00000200652"
"9606.ENSP00000243389","9606.ENSP00000445929",253,"9606.ENSP00000243389"
"9606.ENSP00000223095","9606.ENSP00000445929",252,"9606.ENSP00000223095"
"9606.ENSP00000371872","9606.ENSP00000445929",252,"9606.ENSP00000371872"
"9606.ENSP00000445929","9606.ENSP00000473348",252,"9606.ENSP00000473348"
"9606.ENSP00000415416","9606.ENSP00000445929",251,"9606.ENSP00000415416"
"9606.ENSP00000345528","9606.ENSP00000445929",249,"9606.ENSP00000345528"
"9606.ENSP00000366797","9606.ENSP00000445929",248,"9606.ENSP00000366797"
"9606.ENSP00000411439","9606.ENSP00000445929",248,"9606.ENSP00000411439"
"9606.ENSP00000301891","9606.ENSP00000445929",247,"9606.ENSP00000301891"
"9606.ENSP00000418096","9606.ENSP00000445929",247,"9606.ENSP00000418096"
"9606.ENSP00000390564","9606.ENSP00000445929",246,"9606.ENSP00000390564"
"9606.ENSP00000445929","9606.ENSP00000474621",246,"9606.ENSP00000474621"
"9606.ENSP00000445929","9606.ENSP00000478255",246,"9606.ENSP00000478255"
"9606.ENSP00000369948","9606.ENSP00000445929",245,"9606.ENSP00000369948"
"9606.ENSP00000406546","9606.ENSP00000445929",245,"9606.ENSP00000406546"
"9606.ENSP00000445929","9606.ENSP00000454646",245,"9606.ENSP00000454646"
"9606.ENSP00000199447","9606.ENSP00000445929",244,"9606.ENSP00000199447"
"9606.ENSP00000260649","9606.ENSP00000445929",244,"9606.ENSP00000260649"
"9606.ENSP00000347778","9606.ENSP00000445929",243,"9606.ENSP00000347778"
"9606.ENSP00000445929","9606.ENSP00000481301",243,"9606.ENSP00000481301"
"9606.ENSP00000233202","9606.ENSP00000445929",241,"9606.ENSP00000233202"
"9606.ENSP00000356047","9606.ENSP00000445929",241,"9606.ENSP00000356047"
"9606.ENSP00000264716","9606.ENSP00000445929",240,"9606.ENSP00000264716"
"9606.ENSP00000342056","9606.ENSP00000445929",240,"9606.ENSP00000342056"
"9606.ENSP00000344648","9606.ENSP00000445929",240,"9606.ENSP00000344648"
"9606.ENSP00000271227","9606.ENSP00000445929",239,"9606.ENSP00000271227"
"9606.ENSP00000326671","9606.ENSP00000445929",239,"9606.ENSP00000326671"
"9606.ENSP00000370128","9606.ENSP00000445929",239,"9606.ENSP00000370128"
"9606.ENSP00000378310","9606.ENSP00000445929",239,"9606.ENSP00000378310"
"9606.ENSP00000445929","9606.ENSP00000451828",239,"9606.ENSP00000451828"
"9606.ENSP00000360124","9606.ENSP00000445929",238,"9606.ENSP00000360124"
"9606.ENSP00000216392","9606.ENSP00000445929",237,"9606.ENSP00000216392"
"9606.ENSP00000256495","9606.ENSP00000445929",237,"9606.ENSP00000256495"
"9606.ENSP00000347684","9606.ENSP00000445929",236,"9606.ENSP00000347684"
"9606.ENSP00000363417","9606.ENSP00000445929",236,"9606.ENSP00000363417"
"9606.ENSP00000266682","9606.ENSP00000445929",235,"9606.ENSP00000266682"
"9606.ENSP00000323549","9606.ENSP00000445929",235,"9606.ENSP00000323549"
"9606.ENSP00000297307","9606.ENSP00000445929",234,"9606.ENSP00000297307"
"9606.ENSP00000394168","9606.ENSP00000445929",234,"9606.ENSP00000394168"
"9606.ENSP00000441065","9606.ENSP00000445929",234,"9606.ENSP00000441065"
"9606.ENSP00000364145","9606.ENSP00000445929",233,"9606.ENSP00000364145"
"9606.ENSP00000363891","9606.ENSP00000445929",232,"9606.ENSP00000363891"
"9606.ENSP00000445929","9606.ENSP00000449756",232,"9606.ENSP00000449756"
"9606.ENSP00000245680","9606.ENSP00000445929",231,"9606.ENSP00000245680"
"9606.ENSP00000377192","9606.ENSP00000445929",230,"9606.ENSP00000377192"
"9606.ENSP00000424566","9606.ENSP00000445929",230,"9606.ENSP00000424566"
"9606.ENSP00000365686","9606.ENSP00000445929",229,"9606.ENSP00000365686"
"9606.ENSP00000380856","9606.ENSP00000445929",229,"9606.ENSP00000380856"
"9606.ENSP00000295619","9606.ENSP00000445929",226,"9606.ENSP00000295619"
"9606.ENSP00000445929","9606.ENSP00000465734",226,"9606.ENSP00000465734"
"9606.ENSP00000445929","9606.ENSP00000498246",226,"9606.ENSP00000498246"
"9606.ENSP00000264047","9606.ENSP00000445929",225,"9606.ENSP00000264047"
"9606.ENSP00000356102","9606.ENSP00000445929",225,"9606.ENSP00000356102"
"9606.ENSP00000360671","9606.ENSP00000445929",225,"9606.ENSP00000360671"
"9606.ENSP00000338703","9606.ENSP00000445929",224,"9606.ENSP00000338703"
"9606.ENSP00000445929","9606.ENSP00000454945",224,"9606.ENSP00000454945"
"9606.ENSP00000375108","9606.ENSP00000445929",222,"9606.ENSP00000375108"
"9606.ENSP00000258538","9606.ENSP00000445929",220,"9606.ENSP00000258538"
"9606.ENSP00000261994","9606.ENSP00000445929",220,"9606.ENSP00000261994"
"9606.ENSP00000297524","9606.ENSP00000445929",219,"9606.ENSP00000297524"
"9606.ENSP00000379895","9606.ENSP00000445929",219,"9606.ENSP00000379895"
"9606.ENSP00000264170","9606.ENSP00000445929",218,"9606.ENSP00000264170"
"9606.ENSP00000267842","9606.ENSP00000445929",218,"9606.ENSP00000267842"
"9606.ENSP00000278426","9606.ENSP00000445929",218,"9606.ENSP00000278426"
"9606.ENSP00000391826","9606.ENSP00000445929",218,"9606.ENSP00000391826"
"9606.ENSP00000269053","9606.ENSP00000445929",217,"9606.ENSP00000269053"
"9606.ENSP00000294973","9606.ENSP00000445929",217,"9606.ENSP00000294973"
"9606.ENSP00000319486","9606.ENSP00000445929",216,"9606.ENSP00000319486"
"9606.ENSP00000358727","9606.ENSP00000445929",216,"9606.ENSP00000358727"
"9606.ENSP00000381298","9606.ENSP00000445929",216,"9606.ENSP00000381298"
"9606.ENSP00000251768","9606.ENSP00000445929",215,"9606.ENSP00000251768"
"9606.ENSP00000400932","9606.ENSP00000445929",215,"9606.ENSP00000400932"
"9606.ENSP00000417654","9606.ENSP00000445929",214,"9606.ENSP00000417654"
"9606.ENSP00000420927","9606.ENSP00000445929",214,"9606.ENSP00000420927"
"9606.ENSP00000233242","9606.ENSP00000445929",212,"9606.ENSP00000233242"
"9606.ENSP00000445929","9606.ENSP00000478639",212,"9606.ENSP00000478639"
"9606.ENSP00000272233","9606.ENSP00000445929",211,"9606.ENSP00000272233"
"9606.ENSP00000207870","9606.ENSP00000445929",210,"9606.ENSP00000207870"
"9606.ENSP00000249071","9606.ENSP00000445929",210,"9606.ENSP00000249071"
"9606.ENSP00000317382","9606.ENSP00000445929",210,"9606.ENSP00000317382"
"9606.ENSP00000364486","9606.ENSP00000445929",210,"9606.ENSP00000364486"
"9606.ENSP00000408025","9606.ENSP00000445929",210,"9606.ENSP00000408025"
"9606.ENSP00000233969","9606.ENSP00000445929",208,"9606.ENSP00000233969"
"9606.ENSP00000345023","9606.ENSP00000445929",208,"9606.ENSP00000345023"
"9606.ENSP00000354721","9606.ENSP00000445929",208,"9606.ENSP00000354721"
"9606.ENSP00000363809","9606.ENSP00000445929",208,"9606.ENSP00000363809"
"9606.ENSP00000421275","9606.ENSP00000445929",208,"9606.ENSP00000421275"
"9606.ENSP00000445929","9606.ENSP00000497423",208,"9606.ENSP00000497423"
"9606.ENSP00000177742","9606.ENSP00000445929",207,"9606.ENSP00000177742"
"9606.ENSP00000219302","9606.ENSP00000445929",207,"9606.ENSP00000219302"
"9606.ENSP00000236137","9606.ENSP00000445929",207,"9606.ENSP00000236137"
"9606.ENSP00000309504","9606.ENSP00000445929",207,"9606.ENSP00000309504"
"9606.ENSP00000337060","9606.ENSP00000445929",207,"9606.ENSP00000337060"
"9606.ENSP00000367770","9606.ENSP00000445929",207,"9606.ENSP00000367770"
"9606.ENSP00000376886","9606.ENSP00000445929",207,"9606.ENSP00000376886"
"9606.ENSP00000376889","9606.ENSP00000445929",207,"9606.ENSP00000376889"
"9606.ENSP00000340402","9606.ENSP00000445929",206,"9606.ENSP00000340402"
"9606.ENSP00000402760","9606.ENSP00000445929",206,"9606.ENSP00000402760"
"9606.ENSP00000445829","9606.ENSP00000445929",206,"9606.ENSP00000445829"
"9606.ENSP00000253122","9606.ENSP00000445929",205,"9606.ENSP00000253122"
"9606.ENSP00000411471","9606.ENSP00000445929",205,"9606.ENSP00000411471"
"9606.ENSP00000445929","9606.ENSP00000467271",205,"9606.ENSP00000467271"
"9606.ENSP00000265723","9606.ENSP00000445929",204,"9606.ENSP00000265723"
"9606.ENSP00000350314","9606.ENSP00000445929",204,"9606.ENSP00000350314"
"9606.ENSP00000445929","9606.ENSP00000470801",204,"9606.ENSP00000470801"
"9606.ENSP00000445929","9606.ENSP00000476176",204,"9606.ENSP00000476176"
"9606.ENSP00000445929","9606.ENSP00000500333",204,"9606.ENSP00000500333"
"9606.ENSP00000164139","9606.ENSP00000445929",203,"9606.ENSP00000164139"
"9606.ENSP00000216962","9606.ENSP00000445929",203,"9606.ENSP00000216962"
"9606.ENSP00000266771","9606.ENSP00000445929",203,"9606.ENSP00000266771"
"9606.ENSP00000445929","9606.ENSP00000448071",203,"9606.ENSP00000448071"
"9606.ENSP00000215781","9606.ENSP00000445929",202,"9606.ENSP00000215781"
"9606.ENSP00000368981","9606.ENSP00000445929",202,"9606.ENSP00000368981"
"9606.ENSP00000194130","9606.ENSP00000445929",201,"9606.ENSP00000194130"
"9606.ENSP00000265191","9606.ENSP00000445929",201,"9606.ENSP00000265191"
"9606.ENSP00000355517","9606.ENSP00000445929",201,"9606.ENSP00000355517"
"9606.ENSP00000356785","9606.ENSP00000445929",201,"9606.ENSP00000356785"
"9606.ENSP00000384513","9606.ENSP00000445929",201,"9606.ENSP00000384513"
"9606.ENSP00000400175","9606.ENSP00000445929",201,"9606.ENSP00000400175"
"9606.ENSP00000416658","9606.ENSP00000445929",201,"9606.ENSP00000416658"
"9606.ENSP00000445929","9606.ENSP00000462647",201,"9606.ENSP00000462647"
"9606.ENSP00000445929","9606.ENSP00000496166",201,"9606.ENSP00000496166"
"9606.ENSP00000267814","9606.ENSP00000445929",200,"9606.ENSP00000267814"
"9606.ENSP00000364938","9606.ENSP00000445929",200,"9606.ENSP00000364938"
"9606.ENSP00000367081","9606.ENSP00000445929",200,"9606.ENSP00000367081"
"9606.ENSP00000372390","9606.ENSP00000445929",200,"9606.ENSP00000372390"
"9606.ENSP00000445929","9606.ENSP00000481625",200,"9606.ENSP00000481625"
"9606.ENSP00000346643","9606.ENSP00000445929",199,"9606.ENSP00000346643"
"9606.ENSP00000354649","9606.ENSP00000445929",199,"9606.ENSP00000354649"
"9606.ENSP00000383698","9606.ENSP00000445929",199,"9606.ENSP00000383698"
"9606.ENSP00000385028","9606.ENSP00000445929",199,"9606.ENSP00000385028"
"9606.ENSP00000424544","9606.ENSP00000445929",199,"9606.ENSP00000424544"
"9606.ENSP00000230122","9606.ENSP00000445929",198,"9606.ENSP00000230122"
"9606.ENSP00000370635","9606.ENSP00000445929",198,"9606.ENSP00000370635"
"9606.ENSP00000286298","9606.ENSP00000445929",197,"9606.ENSP00000286298"
"9606.ENSP00000297282","9606.ENSP00000445929",197,"9606.ENSP00000297282"
"9606.ENSP00000362730","9606.ENSP00000445929",197,"9606.ENSP00000362730"
"9606.ENSP00000366641","9606.ENSP00000445929",197,"9606.ENSP00000366641"
"9606.ENSP00000405573","9606.ENSP00000445929",197,"9606.ENSP00000405573"
"9606.ENSP00000437402","9606.ENSP00000445929",197,"9606.ENSP00000437402"
"9606.ENSP00000440915","9606.ENSP00000445929",197,"9606.ENSP00000440915"
"9606.ENSP00000445929","9606.ENSP00000461382",197,"9606.ENSP00000461382"
"9606.ENSP00000278505","9606.ENSP00000445929",196,"9606.ENSP00000278505"
