"from","to","combined_score","target"
"9606.ENSP00000358200","9606.ENSP00000446093",395,"9606.ENSP00000358200"
"9606.ENSP00000361278","9606.ENSP00000446093",395,"9606.ENSP00000361278"
"9606.ENSP00000365745","9606.ENSP00000446093",395,"9606.ENSP00000365745"
"9606.ENSP00000373808","9606.ENSP00000446093",395,"9606.ENSP00000373808"
"9606.ENSP00000380911","9606.ENSP00000446093",395,"9606.ENSP00000380911"
"9606.ENSP00000430242","9606.ENSP00000446093",395,"9606.ENSP00000430242"
"9606.ENSP00000443475","9606.ENSP00000446093",391,"9606.ENSP00000443475"
"9606.ENSP00000011473","9606.ENSP00000446093",390,"9606.ENSP00000011473"
"9606.ENSP00000239830","9606.ENSP00000446093",386,"9606.ENSP00000239830"
"9606.ENSP00000446093","9606.ENSP00000487719",386,"9606.ENSP00000487719"
"9606.ENSP00000369703","9606.ENSP00000446093",385,"9606.ENSP00000369703"
"9606.ENSP00000446093","9606.ENSP00000478887",385,"9606.ENSP00000478887"
"9606.ENSP00000380661","9606.ENSP00000446093",384,"9606.ENSP00000380661"
"9606.ENSP00000264071","9606.ENSP00000446093",380,"9606.ENSP00000264071"
"9606.ENSP00000291295","9606.ENSP00000446093",377,"9606.ENSP00000291295"
"9606.ENSP00000358904","9606.ENSP00000446093",376,"9606.ENSP00000358904"
"9606.ENSP00000263674","9606.ENSP00000446093",372,"9606.ENSP00000263674"
"9606.ENSP00000326042","9606.ENSP00000446093",370,"9606.ENSP00000326042"
"9606.ENSP00000006658","9606.ENSP00000446093",369,"9606.ENSP00000006658"
"9606.ENSP00000420306","9606.ENSP00000446093",368,"9606.ENSP00000420306"
"9606.ENSP00000277458","9606.ENSP00000446093",365,"9606.ENSP00000277458"
"9606.ENSP00000342637","9606.ENSP00000446093",364,"9606.ENSP00000342637"
"9606.ENSP00000369871","9606.ENSP00000446093",364,"9606.ENSP00000369871"
"9606.ENSP00000364802","9606.ENSP00000446093",363,"9606.ENSP00000364802"
"9606.ENSP00000323302","9606.ENSP00000446093",360,"9606.ENSP00000323302"
"9606.ENSP00000370021","9606.ENSP00000446093",359,"9606.ENSP00000370021"
"9606.ENSP00000261597","9606.ENSP00000446093",358,"9606.ENSP00000261597"
"9606.ENSP00000359424","9606.ENSP00000446093",358,"9606.ENSP00000359424"
"9606.ENSP00000327760","9606.ENSP00000446093",356,"9606.ENSP00000327760"
"9606.ENSP00000373905","9606.ENSP00000446093",356,"9606.ENSP00000373905"
"9606.ENSP00000393963","9606.ENSP00000446093",355,"9606.ENSP00000393963"
"9606.ENSP00000300093","9606.ENSP00000446093",353,"9606.ENSP00000300093"
"9606.ENSP00000446093","9606.ENSP00000456206",351,"9606.ENSP00000456206"
"9606.ENSP00000377793","9606.ENSP00000446093",349,"9606.ENSP00000377793"
"9606.ENSP00000288828","9606.ENSP00000446093",347,"9606.ENSP00000288828"
"9606.ENSP00000358795","9606.ENSP00000446093",347,"9606.ENSP00000358795"
"9606.ENSP00000339801","9606.ENSP00000446093",346,"9606.ENSP00000339801"
"9606.ENSP00000289228","9606.ENSP00000446093",345,"9606.ENSP00000289228"
