SPATA2
PLCB4
IST1
FBXW11
GALNT2
PIK3C2A
CAPN6
CACNB4
PIK3C2B
TNFAIP2
ZNF451
CHD5
YME1L1
DLST
DDX18
TLL1
GBE1
RAB29
RRM2
GATA6
IGFBP2
CDK5R2
TCFL5
TNFRSF1A
TTC28
NCOA4
MELK
GALT
PLEC
EIF2S2
CAST
DIO3
CALCB
GATA4
GATA4
DIAPH1
SNED1
PIM1
EIF2B3
CLASP1
CASP4
IGFBP5
ADAM12
TLR4
RPS23
GALR1
PLAGL1
WWC1
OSBPL3
PLAT
RRH
MSH2
RPS4X
TNFAIP1
ARHGEF11
SUSD5
MTSS1
GALNT3
PLEKHG3
PLCB3
CAPZB
S100G
PI4KA
SNURF
GBA1LP
AP1M1
SETBP1
RPN2
RPN2
CKAP5
REXO2
DLX1
DLX1
CLIP3
SASH1
CUBN
CAPNS1
DLG3
CCN1
TLE1
KIAA0586
GSDME
GANC
ICAM5
RPS26
RPS6KA3
SLC25A16
PLAGL2
RPS5
CALB2
CALB2
TNFAIP6
MSH5
MSH5
MSH5
MSH5
MSH5
MSH5
MSH5
MSH5
GAMT
BMS1
DHPS
TUSC3
IGFBP3
TKT
PHOX2B
PLD1
CACNG1
PIK3C3
PTGES3
SKAP2
BAIAP3
RPS6KA2
SEPTIN1
MCM3AP
CASP1
FUT9
MLLT10
RRAD
GALNS
HINFP
SIPA1L1
MAML1
MAML1
CAPN3
TNFRSF1B
RPS3
ATMIN
ATMIN
TLE3
WASF1
CALCR
PLAUR
AP4B1
BICD2
NIPSNAP2
GBA1
GBA1
TNNC2
MTMR2
FAM30A
FAM30A
CACNA1I
RPS27A
GATA3
DLD
IGSF1
VPS39
MYO1B
RRAS
SYNM
PIK3R1
BUD31
DKC1
KAT6A
SS18L1
CITED1
ATRNL1
CACNA1G
CASP2
PIK3CB
PKLR
PKLR
CPNE3
GAS2
PLCL1
TLE4
JADE2
TNNI3
IL1RAP
GBX2
FOXH1
CCDC6
GATM
IBTK
IBTK
CCT8
CCT8
DIO1
IGFBP6
ZNF212
HERC1
GCDH
TRIM14
PIK3CG
CAPZA1
RNF167
GCSH
GCSH
RPS25
RPS25
TMSB4X
RS1
IQCE
PKP1
TNFAIP3
CERS1
DNAJC16
IGFBP7
PCDHGA12
IGFBP4
RPS24
SPCS2
PNMA2
HBP1
HBP1
RPS3A
RPS3A
DHX38
GLCE
DIAPH2
GINS1
DLG1
CYB5R3
RPS6
TMPRSS2
TLE2
NQO1
GALK2
FUBP3
RPS11
PLCG1
RBPJ
RGP1
RRBP1
JCHAIN
PLAU
DLGAP5
AP3D1
IL1A
GDF9
TRIL
BCL10
MGRN1
PIK3C2G
